"","ID","N_NESTS","LATERAL_STRUCTURE","STRUCTURE_MATERIAL","STRUCTURE_SIDE","ASYMM_SIDE","RELIABILITY","REP","categorias","match_mismatch"
"1798",2304,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1806",2316,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1809",2318,1,"y","nat","left",1,"2","y","1_left","match"
"1810",2319,1,"y","nat","left",1,"2","n","1_left","match"
"1820",2331,1,"y","nat","right",1,"2","n","1_right","mismatch"
"1826",2336,2,"y","nat","left",0,"2","y","0_left","mismatch"
"1843",2355,1,"y","art","right",0,"2","n","0_right","match"
"1844",2356,1,"y","nat","right",0,"2","n","0_right","match"
"1845",2357,1,"y","nat","right",0,"2","n","0_right","match"
"1850",2364,1,"y","nat","right",0,"2","n","0_right","match"
"1866",2385,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1869",2389,1,"y","art","left",0,"2","n","0_left","mismatch"
"1873",2396,1,"y","nat","right",0,"2","n","0_right","match"
"1883",2418,1,"y","art","right",0,"2","n","0_right","match"
"1887",2429,1,"y","art","left",0,"2","y","0_left","mismatch"
"1888",2430,1,"y","art","left",0,"2","y","0_left","mismatch"
"1889",2431,1,"y","art","left",0,"2","y","0_left","mismatch"
"1913",2459,2,"y","nat","right",1,"2","n","1_right","mismatch"
"1915",2462,1,"y","nat","left",1,"2","n","1_left","match"
"1926",2473,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1927",2474,1,"y","nat","right",0,"2","y","0_right","match"
"1930",2476,2,"y","nat","left",1,"2","n","1_left","match"
"1931",2477,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1934",2480,1,"y","nat","left",0,"2","n","0_left","mismatch"
"1938",2501,1,"y","art","left",1,"1","","1_left","match"
"1940",2504,1,"y","art","right",1,"1","","1_right","mismatch"
"1947",2512,2,"y","art","left",1,"1","","1_left","match"
"1967",2539,1,"y","nat","left",1,"2","n","1_left","match"
"1969",2552,1,"y","nat","right",1,"1","","1_right","mismatch"
"1995",2609,2,"y","nat","right",0,"2","n","0_right","match"
"2002",2617,1,"y","nat","right",1,"1","","1_right","mismatch"
"2007",2622,1,"y","nat","left",1,"2","n","1_left","match"
"2008",2623,1,"y","nat","left",1,"1","","1_left","match"
"2027",2641,1,"y","art","left",1,"2","y","1_left","match"
"2028",2642,1,"y","art","left",0,"2","y","0_left","mismatch"
"2029",2643,1,"y","art","left",1,"2","y","1_left","match"
"2030",2644,1,"y","art","left",1,"2","n","1_left","match"
"2031",2645,1,"y","art","left",1,"2","n","1_left","match"
"2039",2653,1,"y","nat","left",1,"1","","1_left","match"
"2042",2657,1,"y","nat","right",0,"2","n","0_right","match"
"2043",2658,1,"y","art","right",0,"2","n","0_right","match"
"2044",2659,1,"y","art","left",1,"1","","1_left","match"
"2046",2661,1,"y","art","left",0,"1","","0_left","mismatch"
"2048",2663,1,"y","art","right",0,"2","n","0_right","match"
"2049",2663,2,"y","art","left",0,"2","n","0_left","mismatch"
"2050",2664,1,"y","nat","right",0,"1","","0_right","match"
"2052",2666,1,"y","nat","right",0,"1","","0_right","match"
"2054",2668,1,"y","nat","left",0,"1","","0_left","mismatch"
"2066",2680,1,"y","art","right",1,"2","n","1_right","mismatch"
"2067",2681,1,"y","art","right",0,"2","n","0_right","match"
"2087",2700,1,"y","art","left",0,"2","y","0_left","mismatch"
"2088",2701,1,"y","art","right",1,"2","y","1_right","mismatch"
"2089",2702,1,"y","art","left",0,"2","n","0_left","mismatch"
"2095",2709,1,"y","art","left",0,"2","y","0_left","mismatch"
"2109",2723,1,"y","nat","right",0,"2","y","0_right","match"
"2116",2730,1,"y","nat","right",0,"2","n","0_right","match"
"2118",2733,1,"y","nat","left",1,"2","n","1_left","match"
"2128",2745,1,"y","art","right",1,"2","n","1_right","mismatch"
"2130",2745,3,"y","art","left",0,"2","n","0_left","mismatch"
"2136",2749,1,"y","art","right",1,"2","n","1_right","mismatch"
"2139",2751,1,"y","art","right",0,"2","n","0_right","match"
"2140",2752,1,"y","art","right",0,"2","n","0_right","match"
"2145",2760,1,"y","art","left",0,"2","n","0_left","mismatch"
"2146",2761,1,"y","art","right",0,"2","y","0_right","match"
"2149",2764,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2155",2770,1,"y","nat","right",0,"2","n","0_right","match"
"2178",2797,1,"y","art","left",1,"1","","1_left","match"
"2181",2802,1,"y","art","left",1,"2","n","1_left","match"
"2187",2809,1,"y","art","right",0,"2","n","0_right","match"
"2188",2810,1,"y","art","right",1,"2","n","1_right","mismatch"
"2199",2822,2,"y","art","left",0,"2","n","0_left","mismatch"
"2204",2836,1,"y","art","right",0,"2","n","0_right","match"
"2205",2836,2,"y","art","left",1,"2","n","1_left","match"
"2207",2839,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2213",2847,1,"y","art","right",1,"2","n","1_right","mismatch"
"2214",2848,1,"y","nat","left",1,"2","n","1_left","match"
"2215",2849,1,"y","nat","right",0,"2","n","0_right","match"
"2242",2900,1,"y","art","right",1,"2","n","1_right","mismatch"
"2250",2912,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2270",2935,1,"y","art","right",1,"1","","1_right","mismatch"
"2306",3000,1,"y","art","right",0,"2","y","0_right","match"
"2308",3001,2,"y","art","right",1,"2","n","1_right","mismatch"
"2309",3001,3,"y","art","left",0,"2","n","0_left","mismatch"
"2319",3027,1,"y","art","left",1,"2","y","1_left","match"
"2328",3040,1,"y","art","right",0,"2","n","0_right","match"
"2331",3052,1,"y","art","left",0,"2","y","0_left","mismatch"
"2332",3053,1,"y","art","right",0,"2","y","0_right","match"
"2339",3062,1,"y","art","left",1,"2","y","1_left","match"
"2342",3064,1,"y","art","left",0,"2","n","0_left","mismatch"
"2347",3069,1,"y","art","left",0,"2","n","0_left","mismatch"
"2361",3097,1,"y","nat","left",1,"0","","1_left","match"
"2362",3098,1,"y","nat","left",1,"1","","1_left","match"
"2368",3106,1,"y","nat","left",0,"0","","0_left","mismatch"
"2369",3107,1,"y","art","left",1,"2","y","1_left","match"
"2374",3111,1,"y","art","left",0,"2","y","0_left","mismatch"
"2390",3136,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2400",3148,1,"y","art","right",0,"2","y","0_right","match"
"2401",3149,1,"y","nat","right",0,"2","n","0_right","match"
"2402",3150,1,"y","nat","right",0,"2","n","0_right","match"
"2403",3153,1,"y","nat","left",1,"1","","1_left","match"
"2407",3157,1,"y","art","left",0,"2","n","0_left","mismatch"
"2409",3158,2,"y","art","right",0,"2","y","0_right","match"
"2428",3179,1,"y","art","right",1,"1","","1_right","mismatch"
"2446",3200,1,"y","nat","right",0,"0","","0_right","match"
"2447",3206,1,"y","art","left",0,"2","n","0_left","mismatch"
"2448",3206,2,"y","art","left",1,"2","n","1_left","match"
"2453",3212,1,"y","nat","left",1,"1","","1_left","match"
"2454",3213,1,"y","nat","left",1,"2","n","1_left","match"
"2461",3225,2,"y","nat","right",1,"1","","1_right","mismatch"
"2480",3251,1,"y","nat","left",1,"1","","1_left","match"
"2486",3260,1,"y","nat","right",0,"1","","0_right","match"
"2489",3264,1,"y","nat","left",1,"2","n","1_left","match"
"2490",3297,1,"y","art","right",0,"2","n","0_right","match"
"2501",3309,1,"y","art","left",0,"1","","0_left","mismatch"
"2502",3310,1,"y","art","right",0,"1","","0_right","match"
"2527",3326,1,"y","nat","left",1,"2","n","1_left","match"
"2528",3331,1,"y","art","right",0,"2","n","0_right","match"
"2529",3331,2,"y","art","right",0,"2","n","0_right","match"
"2532",3334,1,"y","art","left",0,"1","","0_left","mismatch"
"2535",3337,1,"y","art","left",0,"1","","0_left","mismatch"
"2545",3346,1,"y","art","left",1,"2","y","1_left","match"
"2546",3347,1,"y","art","right",0,"2","y","0_right","match"
"2553",3354,1,"y","nat","right",0,"2","n","0_right","match"
"2561",3360,2,"y","art","left",0,"1","","0_left","mismatch"
"2567",3365,1,"y","art","right",1,"2","y","1_right","mismatch"
"2570",3370,1,"y","nat","left",0,"2","n","0_left","mismatch"
"2591",3396,1,"y","art","right",1,"1","","1_right","mismatch"
"2593",3398,1,"y","art","left",1,"2","y","1_left","match"
"2596",3404,1,"y","art","right",0,"2","n","0_right","match"
"2606",3414,1,"y","art","right",1,"1","","1_right","mismatch"
"2638",3443,1,"y","art","right",0,"2","y","0_right","match"
"2644",3450,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2645",3451,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2648",3456,1,"y","art","right",0,"0","","0_right","match"
"2660",3474,1,"y","art","right",0,"2","y","0_right","match"
"2661",3475,1,"y","art","right",1,"1","","1_right","mismatch"
"2662",3475,2,"y","art","right",1,"2","n","1_right","mismatch"
"2663",3477,1,"y","nat","left",1,"2","n","1_left","match"
"2667",3482,1,"y","art","right",0,"2","n","0_right","match"
"2669",3484,1,"y","art","right",1,"1","","1_right","mismatch"
"2677",3492,1,"y","art","right",0,"2","n","0_right","match"
"2682",3496,1,"y","art","right",0,"1","","0_right","match"
"2683",3497,1,"y","art","right",0,"2","n","0_right","match"
"2684",3498,1,"y","art","left",0,"0","","0_left","mismatch"
"2685",3498,2,"y","art","left",0,"2","n","0_left","mismatch"
"2687",3499,2,"y","art","right",0,"2","y","0_right","match"
"2692",3504,1,"y","nat","right",1,"1","","1_right","mismatch"
"2696",3510,1,"y","art","right",0,"1","","0_right","match"
"2697",3510,2,"y","art","left",0,"1","","0_left","mismatch"
"2698",3511,1,"y","nat","right",0,"2","n","0_right","match"
"2699",3518,1,"y","nat","right",1,"2","n","1_right","mismatch"
"2700",3519,1,"y","art","left",1,"2","n","1_left","match"
"2702",3521,1,"y","art","left",1,"2","n","1_left","match"
"2704",3521,3,"y","art","left",1,"2","y","1_left","match"
"2706",3521,5,"y","art","right",1,"2","y","1_right","mismatch"
"2711",3527,1,"y","art","right",0,"2","n","0_right","match"
"2714",3529,1,"y","art","left",1,"2","n","1_left","match"
"2716",3530,2,"y","art","left",1,"2","n","1_left","match"
"2722",3534,2,"y","art","left",1,"2","n","1_left","match"
"2728",3541,1,"y","art","left",1,"2","n","1_left","match"
"2732",3547,1,"y","art","right",1,"2","n","1_right","mismatch"
"2741",3559,1,"y","art","right",0,"2","n","0_right","match"
"2742",3560,1,"y","art","right",0,"2","n","0_right","match"
"2745",3563,1,"y","art","right",0,"1","","0_right","match"
"2762",3585,1,"y","art","left",1,"2","n","1_left","match"
"2764",3587,1,"y","art","right",1,"2","n","1_right","mismatch"
"2767",3590,1,"y","nat","left",0,"0","","0_left","mismatch"
"2768",3591,1,"y","nat","right",0,"0","","0_right","match"
"2772",3596,1,"y","art","right",1,"2","n","1_right","mismatch"
"2776",3599,2,"y","art","right",1,"1","","1_right","mismatch"
"2797",3619,1,"y","art","right",1,"2","n","1_right","mismatch"
"2798",3620,1,"y","art","right",0,"2","n","0_right","match"
"2801",3623,1,"y","art","left",1,"2","y","1_left","match"
"2813",3644,1,"y","art","right",1,"2","y","1_right","mismatch"
"2817",3652,1,"y","nat","right",1,"0","","1_right","mismatch"
"2819",3655,1,"y","art","right",0,"2","n","0_right","match"
"2820",3655,2,"y","art","left",0,"2","n","0_left","mismatch"
"2824",3656,2,"y","art","right",0,"2","y","0_right","match"
"2841",3680,1,"y","nat","right",0,"2","n","0_right","match"
"2847",3684,1,"y","art","left",1,"2","y","1_left","match"
"2848",3685,1,"y","art","right",0,"2","n","0_right","match"
"2849",3686,1,"y","nat","right",0,"2","n","0_right","match"
"2851",3688,1,"y","nat","left",1,"2","n","1_left","match"
"2852",3689,1,"y","nat","left",1,"2","n","1_left","match"
"2854",3691,1,"y","nat","right",0,"2","n","0_right","match"
"2862",3697,2,"y","art","left",1,"2","n","1_left","match"
"2863",3698,1,"y","art","right",0,"2","n","0_right","match"
"2874",3709,1,"y","nat","right",1,"0","","1_right","mismatch"
"2876",3710,2,"y","art","left",1,"0","","1_left","match"
"2883",3716,1,"y","art","right",0,"2","n","0_right","match"
"2885",3717,2,"y","art","left",0,"1","","0_left","mismatch"
"2890",3722,1,"y","art","left",1,"2","y","1_left","match"
"2891",3723,1,"y","art","left",0,"2","n","0_left","mismatch"
"2892",3714,1,"y","nat","right",0,"2","n","0_right","match"
"2894",3726,1,"y","art","right",1,"2","n","1_right","mismatch"
"2895",3727,1,"y","art","right",0,"2","n","0_right","match"
"2896",3728,1,"y","art","left",0,"2","n","0_left","mismatch"
"2897",3729,1,"y","art","right",1,"2","n","1_right","mismatch"
"2898",3730,1,"y","art","left",0,"2","n","0_left","mismatch"
"2899",3731,1,"y","art","right",0,"2","n","0_right","match"
"2900",3732,1,"y","art","left",0,"2","n","0_left","mismatch"
"2901",3733,1,"y","art","right",0,"2","n","0_right","match"
"2909",3744,1,"y","art","right",1,"2","n","1_right","mismatch"
"2910",3744,2,"y","art","left",0,"2","n","0_left","mismatch"
"2916",3750,1,"y","art","right",0,"0","","0_right","match"
"2918",3752,1,"y","nat","left",0,"1","","0_left","mismatch"
"2922",3755,1,"y","art","right",1,"0","","1_right","mismatch"
"2924",3755,3,"y","art","left",0,"0","","0_left","mismatch"
"2929",3760,1,"y","art","left",1,"2","n","1_left","match"
