"","ID","N_NESTS","LATERAL_STRUCTURE","STRUCTURE_MATERIAL","STRUCTURE_SIDE","ASYMM_SIDE","RELIABILITY","REP","categorias","match_mismatch"
"3636",4489,1,"y","art","left",0,"1","","0_left","mismatch"
"3637",4489,2,"y","art","right",0,"2","y","0_right","match"
"3638",4490,1,"y","art","right",0,"2","n","0_right","match"
"3647",4498,1,"y","nat","right",0,"2","n","0_right","match"
"3658",4510,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3660",4512,1,"y","art","right",0,"2","y","0_right","match"
"3661",4512,2,"y","art","right",0,"2","y","0_right","match"
"3670",4529,1,"y","nat","right",1,"2","y","1_right","mismatch"
"3671",4530,1,"y","nat","left",1,"1","","1_left","match"
"3672",4531,1,"y","art","right",1,"2","n","1_right","mismatch"
"3673",4531,2,"y","art","left",0,"2","n","0_left","mismatch"
"3678",4535,1,"y","art","left",1,"2","n","1_left","match"
"3712",4565,2,"y","art","right",0,"2","n","0_right","match"
"3713",4566,1,"y","art","right",0,"1","","0_right","match"
"3715",4568,1,"y","art","left",1,"2","y","1_left","match"
"3716",4568,2,"y","art","right",0,"2","y","0_right","match"
"3717",4569,1,"y","art","right",0,"2","y","0_right","match"
"3725",4577,1,"y","art","left",1,"1","","1_left","match"
"3738",4590,1,"y","art","left",1,"2","n","1_left","match"
"3751",4603,2,"y","art","left",0,"2","n","0_left","mismatch"
"3752",4604,1,"y","art","left",0,"2","n","0_left","mismatch"
"3755",4607,1,"y","nat","right",0,"2","n","0_right","match"
"3759",4612,1,"y","art","right",0,"2","n","0_right","match"
"3763",4620,1,"y","art","left",1,"2","n","1_left","match"
"3766",4624,1,"y","art","right",0,"2","n","0_right","match"
"3767",4625,1,"y","art","right",0,"2","n","0_right","match"
"3768",4626,1,"y","art","right",0,"2","n","0_right","match"
"3769",4626,2,"y","art","right",0,"2","n","0_right","match"
"3770",4627,1,"y","art","left",1,"2","n","1_left","match"
"3772",4629,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3775",4632,1,"y","art","right",1,"2","n","1_right","mismatch"
"3776",4633,1,"y","art","left",1,"2","n","1_left","match"
"3781",4639,1,"y","art","right",0,"2","n","0_right","match"
"3784",4642,1,"y","art","right",0,"2","n","0_right","match"
"3797",4654,1,"y","art","right",0,"2","n","0_right","match"
"3798",4655,1,"y","art","right",0,"2","n","0_right","match"
"3809",4664,1,"y","art","left",1,"2","n","1_left","match"
"3811",4666,1,"y","art","right",0,"2","n","0_right","match"
"3815",4668,2,"y","art","left",0,"1","","0_left","mismatch"
"3818",4672,1,"y","art","right",0,"2","n","0_right","match"
"3821",4673,2,"y","art","left",1,"2","n","1_left","match"
"3837",4684,1,"y","nat","right",0,"2","n","0_right","match"
"3849",4696,1,"y","art","right",0,"2","n","0_right","match"
"3860",4705,1,"y","art","right",0,"1","","0_right","match"
"3862",4707,1,"y","nat","left",0,"2","n","0_left","mismatch"
"3863",4708,1,"y","nat","left",1,"2","n","1_left","match"
"3867",4712,1,"y","nat","right",0,"2","n","0_right","match"
"3868",4713,1,"y","nat","left",1,"2","n","1_left","match"
"3871",4716,1,"y","art","right",0,"2","n","0_right","match"
"3875",4721,1,"y","art","right",1,"2","y","1_right","mismatch"
"3876",4722,1,"y","art","right",1,"2","y","1_right","mismatch"
"3881",4727,1,"y","nat","left",1,"2","y","1_left","match"
"3894",4739,1,"y","nat","left",1,"2","n","1_left","match"
"3901",4746,1,"y","art","left",0,"2","n","0_left","mismatch"
"3902",4747,1,"y","art","right",0,"2","y","0_right","match"
"3903",4748,1,"y","art","left",0,"2","y","0_left","mismatch"
"3910",4754,1,"y","art","right",0,"2","y","0_right","match"
"3912",4756,1,"y","art","left",0,"2","y","0_left","mismatch"
"3913",4757,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3916",4763,1,"y","art","left",0,"1","","0_left","mismatch"
"3929",4778,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3933",4782,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3936",4788,1,"y","art","left",1,"1","","1_left","match"
"3941",4794,2,"y","nat","left",1,"2","n","1_left","match"
"3944",4801,1,"y","art","right",1,"2","n","1_right","mismatch"
"3955",4810,1,"y","nat","right",0,"2","y","0_right","match"
"3961",4820,1,"y","art","left",1,"2","n","1_left","match"
"3965",4824,1,"y","nat","right",1,"2","y","1_right","mismatch"
"3966",4825,1,"y","nat","right",1,"2","n","1_right","mismatch"
"3970",4828,1,"y","art","left",1,"2","n","1_left","match"
"3972",4830,1,"y","art","left",1,"2","n","1_left","match"
"3974",4832,1,"y","art","right",1,"2","n","1_right","mismatch"
"3976",4834,1,"y","art","left",1,"2","n","1_left","match"
"4007",4865,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4011",4870,1,"y","nat","left",1,"2","n","1_left","match"
"4013",4872,1,"y","nat","left",1,"2","n","1_left","match"
"4018",4878,1,"y","art","right",1,"2","n","1_right","mismatch"
"4023",4883,1,"y","art","right",1,"2","n","1_right","mismatch"
"4026",4886,1,"y","nat","left",1,"2","y","1_left","match"
"4027",4887,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4030",4891,1,"y","nat","right",0,"2","n","0_right","match"
"4037",4896,1,"y","nat","left",1,"2","n","1_left","match"
"4041",4900,1,"y","nat","right",0,"2","n","0_right","match"
"4050",4909,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4051",4910,1,"y","art","right",0,"2","n","0_right","match"
"4052",4911,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4053",4912,1,"y","art","left",0,"2","y","0_left","mismatch"
"4054",4913,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4055",4914,1,"y","nat","left",1,"2","y","1_left","match"
"4058",4917,1,"y","nat","right",0,"2","n","0_right","match"
"4066",4926,1,"y","art","left",0,"2","n","0_left","mismatch"
"4077",4937,1,"y","nat","left",1,"2","y","1_left","match"
"4079",4939,1,"y","art","left",1,"2","n","1_left","match"
"4087",4949,1,"y","art","left",0,"2","n","0_left","mismatch"
"4090",4952,1,"y","nat","right",0,"2","n","0_right","match"
"4091",4953,1,"y","nat","right",0,"1","","0_right","match"
"4095",4957,1,"y","art","left",1,"2","y","1_left","match"
"4117",4986,1,"y","nat","right",0,"2","n","0_right","match"
"4121",4990,1,"y","nat","right",0,"2","n","0_right","match"
"4122",4991,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4132",5007,1,"y","art","left",0,"2","n","0_left","mismatch"
"4136",5008,4,"y","art","left",1,"2","n","1_left","match"
"4143",5017,1,"y","art","left",1,"2","n","1_left","match"
"4144",5018,1,"y","art","left",1,"2","n","1_left","match"
"4147",5021,1,"y","art","left",0,"2","n","0_left","mismatch"
"4149",5023,1,"y","art","left",1,"2","n","1_left","match"
"4150",5025,1,"y","art","right",1,"1","","1_right","mismatch"
"4155",5030,1,"y","nat","left",1,"1","","1_left","match"
"4158",5033,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4162",5038,1,"y","art","left",0,"2","n","0_left","mismatch"
"4165",5041,1,"y","nat","left",1,"2","n","1_left","match"
"4166",5042,1,"y","nat","right",0,"2","n","0_right","match"
"4167",5043,1,"y","nat","right",0,"2","n","0_right","match"
"4170",5046,1,"y","nat","left",1,"2","n","1_left","match"
"4173",5049,1,"y","nat","right",0,"2","n","0_right","match"
"4175",5051,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4177",5053,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4178",5054,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4179",5055,1,"y","nat","right",0,"2","n","0_right","match"
"4181",5057,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4183",5059,2,"y","nat","right",1,"2","n","1_right","mismatch"
"4187",5063,1,"y","art","right",0,"0","","0_right","match"
"4189",5065,1,"y","art","left",1,"1","","1_left","match"
"4191",5067,1,"y","art","left",0,"2","n","0_left","mismatch"
"4192",5068,1,"y","art","left",0,"2","n","0_left","mismatch"
"4195",5070,1,"y","art","right",1,"2","n","1_right","mismatch"
"4202",5076,1,"y","art","left",0,"1","","0_left","mismatch"
"4210",5083,1,"y","art","left",0,"2","n","0_left","mismatch"
"4211",5084,1,"y","art","right",1,"2","n","1_right","mismatch"
"4218",5098,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4234",5112,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4236",5114,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4243",5120,1,"y","art","right",0,"2","n","0_right","match"
"4244",5121,1,"y","art","right",0,"2","y","0_right","match"
"4266",5142,1,"y","art","left",1,"2","n","1_left","match"
"4276",5151,1,"y","art","right",0,"2","n","0_right","match"
"4299",5173,1,"y","art","left",1,"2","n","1_left","match"
"4318",5193,2,"y","art","left",1,"2","n","1_left","match"
"4322",5196,1,"y","art","left",1,"2","n","1_left","match"
"4328",5203,1,"y","art","right",0,"2","n","0_right","match"
"4332",5207,1,"y","art","right",0,"1","","0_right","match"
"4333",5208,1,"y","art","right",0,"2","n","0_right","match"
"4336",5211,1,"y","art","right",0,"2","n","0_right","match"
"4366",5237,1,"y","art","right",1,"1","","1_right","mismatch"
"4377",5251,1,"y","art","left",1,"2","n","1_left","match"
"4382",5256,1,"y","art","left",1,"2","n","1_left","match"
"4406",5280,1,"y","art","left",0,"2","n","0_left","mismatch"
"4420",5295,2,"y","art","right",1,"2","y","1_right","mismatch"
"4428",5303,2,"y","nat","right",0,"2","n","0_right","match"
"4429",5304,1,"y","art","right",0,"2","n","0_right","match"
"4430",5305,1,"y","art","left",0,"2","n","0_left","mismatch"
"4431",5306,1,"y","art","left",1,"2","n","1_left","match"
"4452",5325,1,"y","art","right",0,"2","n","0_right","match"
"4462",5332,1,"y","art","right",0,"2","n","0_right","match"
"4495",5355,1,"y","nat","left",1,"1","","1_left","match"
"4496",5356,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4500",5360,1,"y","art","right",0,"2","n","0_right","match"
"4502",5362,1,"y","art","right",0,"2","n","0_right","match"
"4512",5368,2,"y","art","left",1,"2","n","1_left","match"
"4522",5374,1,"y","nat","left",1,"2","n","1_left","match"
"4531",5381,1,"y","nat","left",1,"2","n","1_left","match"
"4532",5382,1,"y","art","right",1,"2","n","1_right","mismatch"
"4536",5385,1,"y","nat","left",1,"2","n","1_left","match"
"4537",5386,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4538",5387,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4544",5393,1,"y","nat","right",0,"1","","0_right","match"
"4548",5397,1,"y","art","right",1,"1","","1_right","mismatch"
"4549",5397,2,"y","art","left",1,"1","","1_left","match"
"4563",5412,1,"y","nat","right",0,"2","n","0_right","match"
"4565",5414,1,"y","art","right",0,"2","y","0_right","match"
"4566",5415,1,"y","art","right",0,"2","y","0_right","match"
"4571",5420,1,"y","art","right",0,"2","n","0_right","match"
"4575",5424,1,"y","art","left",1,"1","","1_left","match"
"4578",5427,1,"y","nat","right",0,"2","n","0_right","match"
"4579",5428,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4620",5465,1,"y","nat","left",1,"2","y","1_left","match"
"4621",5466,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4626",5471,1,"y","nat","right",0,"2","y","0_right","match"
"4644",5488,1,"y","art","right",0,"1","","0_right","match"
"4645",5490,1,"y","nat","left",1,"0","","1_left","match"
"4655",5498,1,"y","art","left",1,"2","n","1_left","match"
"4662",5503,1,"y","nat","left",1,"1","","1_left","match"
"4668",5509,1,"y","nat","right",0,"2","n","0_right","match"
"4703",5537,1,"y","nat","left",1,"2","n","1_left","match"
"4724",5559,1,"y","art","right",0,"2","y","0_right","match"
"4725",5560,1,"y","art","left",1,"2","n","1_left","match"
"4730",5566,1,"y","art","right",0,"2","y","0_right","match"
"4732",5568,1,"y","art","left",1,"2","y","1_left","match"
"4733",5568,2,"y","art","right",0,"2","y","0_right","match"
"4743",5577,1,"y","art","left",1,"2","y","1_left","match"
"4770",5603,1,"y","nat","left",1,"2","y","1_left","match"
"4771",5604,1,"y","nat","left",0,"2","n","0_left","mismatch"
"4783",5615,1,"y","art","right",0,"1","","0_right","match"
"4787",5619,1,"y","nat","right",0,"1","","0_right","match"
"4789",5621,1,"y","nat","left",1,"2","n","1_left","match"
"4790",5622,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4793",5625,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4803",5633,1,"y","art","right",0,"1","","0_right","match"
"4807",5637,1,"y","nat","right",0,"2","n","0_right","match"
"4815",5645,1,"y","art","left",1,"2","y","1_left","match"
"4816",5646,1,"y","art","left",0,"2","n","0_left","mismatch"
"4837",5666,1,"y","art","right",0,"2","y","0_right","match"
"4838",5667,1,"y","art","right",0,"2","y","0_right","match"
"4839",5668,1,"y","art","left",1,"2","y","1_left","match"
"4841",5670,1,"y","art","left",1,"2","y","1_left","match"
"4857",5684,1,"y","art","right",0,"2","y","0_right","match"
"4865",5692,1,"y","nat","right",1,"2","n","1_right","mismatch"
"4877",5704,1,"y","art","right",0,"0","","0_right","match"
"4880",5706,1,"y","art","left",1,"2","y","1_left","match"
"4881",5707,1,"y","art","right",0,"2","y","0_right","match"
"4882",5708,1,"y","art","left",1,"2","y","1_left","match"
"4883",5708,2,"y","art","right",0,"2","y","0_right","match"
"4900",5728,1,"y","art","right",0,"2","y","0_right","match"
"4919",5756,1,"y","art","left",1,"2","n","1_left","match"
"4922",5759,1,"y","art","right",0,"2","n","0_right","match"
"4926",5764,1,"y","nat","right",0,"2","n","0_right","match"
"4933",5772,1,"y","art","right",0,"2","y","0_right","match"
"4956",5794,1,"y","nat","right",0,"0","","0_right","match"
"4965",5803,1,"y","art","right",0,"2","y","0_right","match"
"4990",5830,1,"y","art","left",0,"2","n","0_left","mismatch"
"4992",5833,1,"y","art","left",1,"2","y","1_left","match"
"5003",5844,1,"y","art","right",0,"2","y","0_right","match"
"5004",5845,1,"y","art","right",0,"2","y","0_right","match"
"5009",5850,1,"y","art","right",0,"2","n","0_right","match"
"5010",5851,1,"y","art","left",1,"2","n","1_left","match"
"5015",5856,1,"y","nat","left",1,"2","n","1_left","match"
"5028",5867,1,"y","nat","left",1,"2","n","1_left","match"
"5034",5872,1,"y","art","right",0,"2","n","0_right","match"
"5052",5884,1,"y","art","right",0,"1","","0_right","match"
"5078",5900,2,"y","art","left",0,"2","n","0_left","mismatch"
"5104",5917,1,"y","nat","left",0,"2","n","0_left","mismatch"
"5106",5918,2,"y","art","right",0,"2","n","0_right","match"
"5129",5939,1,"y","art","right",1,"2","n","1_right","mismatch"
"5130",5940,1,"y","art","left",0,"1","","0_left","mismatch"
"5132",5942,1,"y","nat","right",0,"2","y","0_right","match"
"5138",5950,1,"y","art","right",0,"1","","0_right","match"
"5146",5960,1,"y","art","right",0,"2","y","0_right","match"
"5147",5961,1,"y","art","left",0,"2","n","0_left","mismatch"
"5165",5983,1,"y","art","left",1,"2","y","1_left","match"
"5193",6007,1,"y","nat","right",0,"2","n","0_right","match"
"5211",6023,1,"y","nat","right",1,"2","y","1_right","mismatch"
"5257",6053,1,"y","nat","right",0,"2","n","0_right","match"
"5272",6065,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5286",6076,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5287",6077,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5290",6081,1,"y","nat","left",1,"2","n","1_left","match"
"5291",6082,1,"y","nat","left",1,"2","n","1_left","match"
"5292",6083,1,"y","nat","left",1,"2","y","1_left","match"
"5293",6086,1,"y","art","right",1,"1","","1_right","mismatch"
"5309",6102,1,"y","art","right",1,"2","n","1_right","mismatch"
"5318",6117,1,"y","nat","left",0,"2","y","0_left","mismatch"
"5319",6117,2,"y","nat","right",0,"2","y","0_right","match"
"5332",6130,1,"y","nat","left",1,"2","n","1_left","match"
"5334",6136,1,"y","nat","left",1,"2","n","1_left","match"
"5335",6138,1,"y","nat","right",1,"1","","1_right","mismatch"
"5348",6150,1,"y","art","left",1,"1","","1_left","match"
"5349",6151,1,"y","art","right",0,"1","","0_right","match"
"5360",6162,1,"y","art","right",0,"1","","0_right","match"
"5361",6163,1,"y","nat","left",1,"0","","1_left","match"
"5366",6168,1,"y","art","left",1,"2","n","1_left","match"
"5367",6169,1,"y","nat","right",0,"2","n","0_right","match"
"5368",6170,1,"y","nat","left",0,"2","n","0_left","mismatch"
"5377",6176,1,"y","art","left",0,"1","","0_left","mismatch"
"5378",6177,1,"y","art","left",1,"1","","1_left","match"
"5405",6208,1,"y","nat","left",1,"1","","1_left","match"
"5420",6222,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5435",6237,1,"y","art","right",0,"2","y","0_right","match"
"5476",6263,1,"y","nat","left",1,"2","y","1_left","match"
"5488",6272,1,"y","nat","right",0,"2","y","0_right","match"
"5557",6319,1,"y","art","left",1,"1","","1_left","match"
"5587",6348,1,"y","nat","left",1,"2","n","1_left","match"
"5588",6349,1,"y","art","right",0,"2","y","0_right","match"
"5589",6350,1,"y","art","left",1,"2","n","1_left","match"
"5592",6352,1,"y","art","left",1,"2","y","1_left","match"
"5593",6353,1,"y","art","left",1,"1","","1_left","match"
"5594",6353,2,"y","art","right",1,"2","y","1_right","mismatch"
"5595",6354,1,"y","art","left",1,"2","y","1_left","match"
"5596",6355,1,"y","nat","left",0,"1","","0_left","mismatch"
"5603",6361,1,"y","nat","left",1,"2","n","1_left","match"
"5612",6370,1,"y","art","left",0,"1","","0_left","mismatch"
"5614",6372,1,"y","art","left",0,"2","n","0_left","mismatch"
"5615",6373,1,"y","art","right",0,"1","","0_right","match"
"5616",6374,1,"y","nat","left",0,"2","n","0_left","mismatch"
"5635",6401,1,"y","nat","right",0,"2","n","0_right","match"
"5654",6420,1,"y","art","left",1,"2","y","1_left","match"
"5662",6433,1,"y","nat","right",0,"1","","0_right","match"
"5666",6437,1,"y","art","left",0,"2","n","0_left","mismatch"
"5667",6438,1,"y","nat","left",1,"2","y","1_left","match"
"5668",6439,1,"y","art","right",0,"2","y","0_right","match"
"5670",6441,1,"y","nat","left",1,"1","","1_left","match"
"5671",6442,1,"y","art","right",0,"2","y","0_right","match"
"5672",6443,1,"y","art","left",0,"0","","0_left","mismatch"
"5679",6449,1,"y","art","left",1,"2","n","1_left","match"
"5681",6451,1,"y","art","right",0,"2","n","0_right","match"
"5685",6455,1,"y","art","right",0,"1","","0_right","match"
"5698",6469,1,"y","nat","left",0,"2","n","0_left","mismatch"
"5701",6484,1,"y","nat","left",1,"2","n","1_left","match"
"5703",6493,1,"y","nat","left",1,"2","y","1_left","match"
"5714",6507,1,"y","art","right",0,"2","y","0_right","match"
"5716",6511,1,"y","nat","right",0,"1","","0_right","match"
"5723",6517,1,"y","art","left",0,"2","n","0_left","mismatch"
"5724",6518,1,"y","art","left",0,"1","","0_left","mismatch"
"5742",6535,1,"y","nat","left",0,"1","","0_left","mismatch"
"5743",6536,1,"y","nat","left",1,"1","","1_left","match"
"5782",6572,1,"y","nat","left",0,"2","n","0_left","mismatch"
"5784",6575,1,"y","art","left",1,"2","n","1_left","match"
"5795",6586,1,"y","nat","right",0,"2","n","0_right","match"
"5796",6587,1,"y","nat","left",1,"2","n","1_left","match"
"5800",6591,1,"y","nat","right",0,"2","n","0_right","match"
"5804",6595,1,"y","art","right",0,"1","","0_right","match"
"5811",6602,1,"y","art","left",1,"2","y","1_left","match"
"5830",6622,2,"y","art","left",1,"1","","1_left","match"
"5846",6637,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5849",6641,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5857",6649,1,"y","art","right",1,"1","","1_right","mismatch"
"5859",6651,1,"y","art","left",1,"2","n","1_left","match"
"5868",6661,1,"y","art","right",0,"2","n","0_right","match"
"5872",6666,1,"y","art","right",1,"1","","1_right","mismatch"
"5873",6667,1,"y","nat","right",0,"2","n","0_right","match"
"5876",6675,1,"y","nat","left",1,"1","","1_left","match"
"5886",6688,1,"y","art","right",0,"2","n","0_right","match"
"5895",6696,2,"y","art","left",1,"1","","1_left","match"
"5903",6704,1,"y","nat","left",1,"2","y","1_left","match"
"5911",6712,1,"y","nat","right",0,"2","n","0_right","match"
"5934",6731,1,"y","nat","right",1,"2","n","1_right","mismatch"
"5945",6743,1,"y","nat","right",0,"1","","0_right","match"
"5948",6746,1,"y","art","left",1,"2","y","1_left","match"
"5953",6751,1,"y","art","left",1,"2","y","1_left","match"
"5954",6752,1,"y","art","left",1,"2","y","1_left","match"
"5955",6754,1,"y","art","left",1,"2","n","1_left","match"
"5958",6757,1,"y","nat","right",0,"2","y","0_right","match"
"5962",6761,1,"y","art","right",0,"2","y","0_right","match"
"5966",6765,2,"y","nat","left",1,"2","y","1_left","match"
"5968",6767,1,"y","nat","left",1,"2","n","1_left","match"
"5969",6768,1,"y","nat","right",0,"2","n","0_right","match"
"5970",6769,1,"y","nat","left",1,"2","n","1_left","match"
"5973",6772,1,"y","nat","right",1,"1","","1_right","mismatch"
"5980",6780,1,"y","art","left",0,"2","n","0_left","mismatch"
"5981",6781,1,"y","art","right",1,"2","n","1_right","mismatch"
"5983",6785,1,"y","nat","left",1,"2","n","1_left","match"
"6001",6803,1,"y","art","right",0,"2","n","0_right","match"
"6002",6805,1,"y","art","left",0,"2","n","0_left","mismatch"
"6005",6807,1,"y","art","right",0,"1","","0_right","match"
"6017",6820,1,"y","art","left",0,"2","y","0_left","mismatch"
"6018",6821,1,"y","art","left",1,"2","y","1_left","match"
"6022",6825,1,"y","art","left",1,"2","y","1_left","match"
"6023",6826,1,"y","art","right",1,"2","n","1_right","mismatch"
"6028",6831,1,"y","nat","right",0,"2","n","0_right","match"
"6032",6835,1,"y","art","right",0,"2","n","0_right","match"
"6033",6839,1,"y","art","right",0,"2","n","0_right","match"
"6044",6853,1,"y","nat","right",0,"2","n","0_right","match"
"6050",6859,1,"y","art","right",0,"2","n","0_right","match"
"6062",6874,1,"y","art","right",1,"2","y","1_right","mismatch"
"6063",6875,1,"y","art","right",1,"2","y","1_right","mismatch"
"6081",6896,1,"y","nat","left",0,"1","","0_left","mismatch"
"6087",6902,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6088",6903,1,"y","art","right",0,"2","y","0_right","match"
"6089",6904,1,"y","nat","left",1,"1","","1_left","match"
"6090",6905,1,"y","nat","left",1,"2","n","1_left","match"
"6093",6908,1,"y","nat","left",1,"1","","1_left","match"
"6095",6910,1,"y","nat","left",1,"2","n","1_left","match"
"6097",6912,1,"y","art","right",0,"2","n","0_right","match"
"6100",6915,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6105",6921,2,"y","art","left",1,"2","n","1_left","match"
"6108",6924,1,"y","nat","right",1,"1","","1_right","mismatch"
"6110",6926,1,"y","art","left",0,"2","n","0_left","mismatch"
"6115",6932,1,"y","art","right",0,"2","n","0_right","match"
"6116",6932,2,"y","art","left",0,"2","n","0_left","mismatch"
"6122",6943,1,"y","art","right",1,"2","n","1_right","mismatch"
"6139",6961,1,"y","art","right",0,"2","n","0_right","match"
"6150",6971,1,"y","art","right",0,"1","","0_right","match"
"6151",6972,1,"y","art","right",0,"1","","0_right","match"
"6152",6973,1,"y","art","right",0,"1","","0_right","match"
"6153",6974,1,"y","art","right",0,"1","","0_right","match"
"6165",6986,1,"y","art","right",1,"2","n","1_right","mismatch"
"6183",7004,1,"y","art","left",1,"1","","1_left","match"
"6197",7018,1,"y","art","right",0,"2","y","0_right","match"
"6198",7019,1,"y","art","left",0,"2","y","0_left","mismatch"
"6199",7020,1,"y","nat","left",1,"2","n","1_left","match"
"6202",7023,1,"y","art","right",1,"2","y","1_right","mismatch"
"6203",7024,1,"y","art","right",1,"2","y","1_right","mismatch"
"6204",7025,1,"y","art","left",1,"2","y","1_left","match"
"6206",7027,1,"y","nat","right",0,"1","","0_right","match"
"6211",7032,1,"y","nat","left",1,"2","n","1_left","match"
"6212",7034,1,"y","art","left",0,"2","n","0_left","mismatch"
"6214",7038,1,"y","nat","left",1,"2","n","1_left","match"
"6220",7044,1,"y","art","left",1,"2","y","1_left","match"
"6223",7047,1,"y","art","right",0,"2","y","0_right","match"
"6233",7057,1,"y","art","right",0,"2","n","0_right","match"
"6234",7058,1,"y","art","left",1,"2","y","1_left","match"
"6236",7060,1,"y","nat","left",1,"1","","1_left","match"
"6252",7076,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6254",7079,1,"y","nat","right",1,"1","","1_right","mismatch"
"6256",7081,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6262",7088,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6268",7094,1,"y","nat","right",1,"2","n","1_right","mismatch"
"6283",7109,1,"y","art","left",0,"1","","0_left","mismatch"
"6284",7110,1,"y","nat","right",1,"1","","1_right","mismatch"
"6286",7112,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6287",7113,1,"y","art","right",1,"2","y","1_right","mismatch"
"6288",7114,1,"y","art","right",1,"2","y","1_right","mismatch"
"6289",7115,1,"y","art","right",1,"2","y","1_right","mismatch"
"6290",7116,1,"y","art","right",0,"2","y","0_right","match"
"6291",7117,1,"y","art","right",0,"2","y","0_right","match"
"6301",7127,1,"y","nat","left",1,"2","n","1_left","match"
"6303",7129,1,"y","nat","left",1,"2","n","1_left","match"
"6308",7135,1,"y","nat","left",1,"1","","1_left","match"
"6323",7153,1,"y","nat","left",1,"2","n","1_left","match"
"6328",7159,1,"y","nat","right",0,"2","n","0_right","match"
"6330",7161,1,"y","art","left",1,"2","n","1_left","match"
"6335",7166,1,"y","art","right",0,"2","n","0_right","match"
"6355",7187,1,"y","art","left",1,"2","n","1_left","match"
"6368",7202,1,"y","nat","right",0,"2","n","0_right","match"
"6373",7210,1,"y","nat","left",1,"2","n","1_left","match"
"6378",7216,1,"y","nat","right",0,"2","n","0_right","match"
"6379",7217,1,"y","nat","left",1,"2","n","1_left","match"
"6383",7222,1,"y","art","right",1,"2","n","1_right","mismatch"
"6386",7225,1,"y","art","left",1,"2","n","1_left","match"
"6406",7250,1,"y","art","right",0,"2","n","0_right","match"
"6409",7253,1,"y","art","left",1,"0","","1_left","match"
"6411",7255,1,"y","art","right",0,"2","n","0_right","match"
"6418",7262,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6425",7269,1,"y","nat","left",1,"0","","1_left","match"
"6441",7284,1,"y","art","right",0,"2","n","0_right","match"
"6442",7285,1,"y","art","right",0,"2","y","0_right","match"
"6446",7290,1,"y","nat","right",0,"1","","0_right","match"
"6448",7293,1,"y","art","left",1,"2","y","1_left","match"
"6450",7295,1,"y","art","left",0,"2","y","0_left","mismatch"
"6451",7296,1,"y","art","left",1,"2","y","1_left","match"
"6452",7297,1,"y","art","left",0,"2","y","0_left","mismatch"
"6453",7298,1,"y","art","left",1,"2","y","1_left","match"
"6454",7299,1,"y","art","right",1,"2","y","1_right","mismatch"
"6455",7300,1,"y","art","right",1,"2","y","1_right","mismatch"
"6456",7301,1,"y","art","right",0,"2","n","0_right","match"
"6457",7302,1,"y","art","left",0,"2","y","0_left","mismatch"
"6458",7303,1,"y","art","right",1,"2","y","1_right","mismatch"
"6459",7304,1,"y","art","left",0,"2","n","0_left","mismatch"
"6460",7305,1,"y","art","left",1,"2","y","1_left","match"
"6461",7306,1,"y","art","right",1,"2","n","1_right","mismatch"
"6462",7308,1,"y","art","left",0,"2","n","0_left","mismatch"
"6463",7309,1,"y","art","left",0,"2","y","0_left","mismatch"
"6464",7310,1,"y","art","left",0,"2","n","0_left","mismatch"
"6465",7311,1,"y","art","left",1,"2","y","1_left","match"
"6467",7313,1,"y","nat","left",0,"2","n","0_left","mismatch"
"6482",7333,1,"y","nat","left",0,"2","n","0_left","mismatch"
